Algorithm,Size,Time
bubble,10,3.123000e-06
bubble,10,1.440000e-06
bubble,10,1.618000e-06
bubble,10,1.393000e-06
bubble,10,1.648000e-06
bubble,10,1.375000e-06
bubble,10,1.735000e-06
bubble,10,1.745000e-06
bubble,10,2.039000e-06
bubble,10,2.172000e-06
bubble,10,1.691000e-06
bubble,10,1.856000e-06
bubble,10,1.835000e-06
bubble,10,7.035000e-06
bubble,10,1.564000e-06
bubble,10,1.557000e-06
bubble,10,1.395000e-06
bubble,10,1.416000e-06
bubble,10,1.144000e-06
bubble,10,1.606000e-06
bubble,10,1.866000e-06
bubble,10,1.643000e-06
bubble,10,1.865000e-06
bubble,10,1.492000e-06
bubble,10,1.934000e-06
bubble,10,1.423000e-06
bubble,10,1.552000e-06
bubble,10,9.660000e-07
bubble,10,9.870000e-07
bubble,10,1.702000e-06
bubble,10,2.097000e-06
bubble,10,1.607000e-06
bubble,10,1.481000e-06
bubble,10,1.499000e-06
bubble,10,1.335000e-06
bubble,10,1.006000e-06
bubble,10,1.572000e-06
bubble,10,1.459000e-06
bubble,10,1.203000e-06
bubble,10,1.316000e-06
bubble,10,1.475000e-06
bubble,10,1.504000e-06
bubble,10,1.303000e-06
bubble,10,1.731000e-06
bubble,10,1.601000e-06
bubble,10,1.743000e-06
bubble,10,1.478000e-06
bubble,10,1.500000e-06
bubble,10,1.431000e-06
bubble,10,1.444000e-06
insertion,10,5.380000e-07
insertion,10,4.580000e-07
insertion,10,4.010000e-07
insertion,10,3.570000e-07
insertion,10,3.750000e-07
insertion,10,3.190000e-07
insertion,10,3.200000e-07
insertion,10,3.510000e-07
insertion,10,3.230000e-07
insertion,10,3.140000e-07
insertion,10,3.190000e-07
insertion,10,3.510000e-07
insertion,10,3.250000e-07
insertion,10,3.330000e-07
insertion,10,3.160000e-07
insertion,10,3.120000e-07
insertion,10,3.140000e-07
insertion,10,3.190000e-07
insertion,10,3.790000e-07
insertion,10,3.040000e-07
insertion,10,3.060000e-07
insertion,10,3.090000e-07
insertion,10,3.160000e-07
insertion,10,3.060000e-07
insertion,10,3.090000e-07
insertion,10,3.380000e-07
insertion,10,3.430000e-07
insertion,10,3.150000e-07
insertion,10,3.820000e-07
insertion,10,3.080000e-07
insertion,10,3.100000e-07
insertion,10,3.140000e-07
insertion,10,3.220000e-07
insertion,10,3.250000e-07
insertion,10,3.180000e-07
insertion,10,3.110000e-07
insertion,10,3.100000e-07
insertion,10,3.470000e-07
insertion,10,3.020000e-07
insertion,10,3.100000e-07
insertion,10,3.100000e-07
insertion,10,3.190000e-07
insertion,10,3.350000e-07
insertion,10,3.370000e-07
insertion,10,3.110000e-07
insertion,10,3.160000e-07
insertion,10,3.050000e-07
insertion,10,3.370000e-07
insertion,10,3.070000e-07
insertion,10,3.130000e-07
selection,10,1.263000e-06
selection,10,1.112000e-06
