Algorithm,Size,Time
bubble,10,3.856000e-06
bubble,10,2.431000e-06
bubble,10,2.637000e-06
bubble,10,2.893000e-06
bubble,10,2.491000e-06
bubble,10,3.039000e-06
bubble,10,2.591000e-06
bubble,10,2.178000e-06
bubble,10,2.415000e-06
bubble,10,2.238000e-06
bubble,10,2.447000e-06
bubble,10,2.232000e-06
bubble,10,2.405000e-06
bubble,10,2.694000e-06
bubble,10,2.726000e-06
bubble,10,2.712000e-06
bubble,10,3.286000e-06
bubble,10,3.372000e-06
bubble,10,3.411000e-06
bubble,10,3.144000e-06
bubble,10,3.438000e-06
bubble,10,3.599000e-06
bubble,10,2.381000e-06
bubble,10,2.990000e-06
bubble,10,2.970000e-06
bubble,10,2.643000e-06
bubble,10,2.829000e-06
bubble,10,2.982000e-06
bubble,10,2.312000e-06
bubble,10,2.671000e-06
bubble,10,2.497000e-06
bubble,10,2.407000e-06
bubble,10,2.349000e-06
bubble,10,2.754000e-06
bubble,10,2.859000e-06
bubble,10,2.602000e-06
bubble,10,2.879000e-06
bubble,10,3.342000e-06
bubble,10,3.241000e-06
bubble,10,2.707500e-05
bubble,10,3.061000e-06
bubble,10,3.088000e-06
bubble,10,3.099000e-06
bubble,10,2.754000e-06
bubble,10,2.815000e-06
bubble,10,2.697000e-06
bubble,10,2.537000e-06
bubble,10,2.914000e-06
bubble,10,3.416000e-06
bubble,10,3.463000e-06
insertion,10,7.340000e-07
insertion,10,5.310000e-07
insertion,10,7.160000e-07
insertion,10,5.580000e-07
insertion,10,5.310000e-07
insertion,10,6.500000e-07
insertion,10,7.350000e-07
insertion,10,5.240000e-07
insertion,10,4.940000e-07
insertion,10,5.100000e-07
insertion,10,4.900000e-07
insertion,10,6.180000e-07
insertion,10,5.420000e-07
insertion,10,6.500000e-07
insertion,10,5.980000e-07
insertion,10,7.720000e-07
insertion,10,7.760000e-07
insertion,10,6.490000e-07
insertion,10,6.030000e-07
insertion,10,6.950000e-07
insertion,10,7.690000e-07
insertion,10,7.250000e-07
insertion,10,6.610000e-07
insertion,10,6.290000e-07
insertion,10,7.230000e-07
insertion,10,7.010000e-07
insertion,10,5.200000e-07
insertion,10,7.770000e-07
insertion,10,6.610000e-07
insertion,10,5.980000e-07
insertion,10,6.010000e-07
insertion,10,5.920000e-07
insertion,10,5.650000e-07
insertion,10,6.270000e-07
insertion,10,5.910000e-07
insertion,10,6.780000e-07
insertion,10,6.730000e-07
insertion,10,7.900000e-07
insertion,10,7.230000e-07
insertion,10,7.230000e-07
insertion,10,7.870000e-07
insertion,10,7.580000e-07
insertion,10,7.200000e-07
insertion,10,6.480000e-07
insertion,10,6.860000e-07
insertion,10,5.130000e-07
insertion,10,6.080000e-07
insertion,10,5.740000e-07
insertion,10,6.760000e-07
insertion,10,7.390000e-07
selection,10,1.524000e-06
selection,10,1.846000e-06
selection,10,1.507000e-06
selection,10,1.532000e-06
selection,10,1.252000e-06
selection,10,1.266000e-06
selection,10,1.538000e-06
selection,10,1.165000e-06
selection,10,1.287000e-06
selection,10,1.229000e-06
selection,10,1.205000e-06
selection,10,1.447000e-06
selection,10,1.379000e-06
selection,10,1.292000e-06
selection,10,1.261000e-06
selection,10,1.648000e-06
selection,10,1.608000e-06
selection,10,1.461000e-06
selection,10,1.670000e-06
selection,10,1.694000e-06
selection,10,1.749000e-06
selection,10,1.840000e-06
selection,10,1.204000e-06
selection,10,1.638000e-06
selection,10,1.569000e-06
selection,10,1.788000e-06
selection,10,1.648000e-06
selection,10,1.594000e-06
selection,10,1.334000e-06
selection,10,1.218000e-06
selection,10,1.353000e-06
selection,10,1.380000e-06
selection,10,1.408000e-06
selection,10,1.468000e-06
selection,10,1.405000e-06
selection,10,1.325000e-06
selection,10,1.758000e-06
selection,10,1.693000e-06
selection,10,1.776000e-06
selection,10,1.866000e-06
selection,10,1.753000e-06
selection,10,1.673000e-06
selection,10,1.663000e-06
selection,10,1.492000e-06
selection,10,1.426000e-06
selection,10,1.552000e-06
selection,10,1.463000e-06
selection,10,1.508000e-06
selection,10,1.787000e-06
selection,10,1.802000e-06
quick,10,1.093000e-06
quick,10,1.214000e-06
quick,10,8.650000e-07
quick,10,8.610000e-07
quick,10,9.150000e-07
quick,10,7.680000e-07
quick,10,7.830000e-07
quick,10,7.630000e-07
quick,10,8.150000e-07
quick,10,1.085000e-06
quick,10,7.480000e-07
quick,10,8.090000e-07
quick,10,8.290000e-07
quick,10,9.390000e-07
quick,10,1.045000e-06
quick,10,1.041000e-06
quick,10,1.020000e-06
quick,10,9.410000e-07
quick,10,1.007000e-06
quick,10,9.990000e-07
quick,10,1.095000e-06
quick,10,1.023000e-06
quick,10,9.440000e-07
quick,10,1.048000e-06
quick,10,9.340000e-07
quick,10,1.093000e-06
quick,10,8.390000e-07
quick,10,1.047000e-06
quick,10,9.060000e-07
quick,10,8.100000e-07
quick,10,8.590000e-07
quick,10,8.120000e-07
quick,10,8.770000e-07
quick,10,8.410000e-07
quick,10,9.080000e-07
quick,10,1.017000e-06
quick,10,1.073000e-06
quick,10,1.194000e-06
quick,10,1.189000e-06
quick,10,1.150000e-06
quick,10,1.294000e-06
quick,10,1.076000e-06
quick,10,9.680000e-07
quick,10,9.390000e-07
quick,10,1.081000e-06
quick,10,8.590000e-07
quick,10,9.660000e-07
quick,10,1.093000e-06
quick,10,1.179000e-06
quick,10,1.191000e-06
bubble,100,4.617400e-04
bubble,100,7.912200e-04
bubble,100,8.346260e-04
bubble,100,7.879220e-04
bubble,100,7.663680e-04
bubble,100,8.475760e-04
bubble,100,7.918800e-04
bubble,100,3.390420e-04
bubble,100,3.353180e-04
bubble,100,3.339410e-04
bubble,100,3.651800e-04
bubble,100,3.305960e-04
bubble,100,3.315130e-04
bubble,100,3.360320e-04
bubble,100,3.317070e-04
bubble,100,4.571780e-04
bubble,100,3.405100e-04
bubble,100,3.317860e-04
bubble,100,4.219710e-04
bubble,100,3.329530e-04
bubble,100,3.384820e-04
bubble,100,3.362020e-04
bubble,100,3.156200e-04
bubble,100,3.344040e-04
bubble,100,3.303530e-04
bubble,100,3.168840e-04
bubble,100,3.228360e-04
bubble,100,2.949990e-04
bubble,100,3.159560e-04
bubble,100,2.524310e-04
bubble,100,1.612380e-04
bubble,100,1.694590e-04
bubble,100,1.619250e-04
bubble,100,1.619580e-04
bubble,100,1.615770e-04
bubble,100,1.625250e-04
bubble,100,1.701470e-04
bubble,100,1.615390e-04
bubble,100,2.045690e-04
bubble,100,1.613270e-04
bubble,100,1.621710e-04
bubble,100,1.782150e-04
bubble,100,1.618990e-04
bubble,100,1.611340e-04
bubble,100,1.614940e-04
bubble,100,1.615660e-04
bubble,100,1.617430e-04
bubble,100,1.618700e-04
bubble,100,1.616280e-04
bubble,100,1.618620e-04
insertion,100,5.232000e-06
insertion,100,6.870000e-06
insertion,100,7.382000e-06
insertion,100,7.040000e-06
insertion,100,6.023000e-06
insertion,100,7.007000e-06
insertion,100,6.199000e-06
insertion,100,2.884000e-06
insertion,100,2.561000e-06
insertion,100,2.480000e-06
insertion,100,2.967000e-06
insertion,100,2.151000e-06
insertion,100,3.101000e-06
insertion,100,2.157000e-06
insertion,100,2.946000e-06
insertion,100,3.404000e-06
insertion,100,2.993000e-06
insertion,100,3.084000e-06
insertion,100,2.995000e-06
insertion,100,3.100000e-06
insertion,100,2.996000e-06
insertion,100,2.803000e-06
insertion,100,2.772000e-06
insertion,100,2.746000e-06
insertion,100,2.793000e-06
insertion,100,2.881000e-06
insertion,100,2.817000e-06
insertion,100,2.793000e-06
insertion,100,2.827000e-06
insertion,100,1.925000e-06
insertion,100,1.372000e-06
insertion,100,1.386000e-06
insertion,100,1.368000e-06
insertion,100,1.362000e-06
insertion,100,1.392000e-06
insertion,100,1.371000e-06
insertion,100,1.375000e-06
insertion,100,1.348000e-06
insertion,100,1.407000e-06
insertion,100,1.348000e-06
insertion,100,1.427000e-06
insertion,100,1.373000e-06
insertion,100,1.355000e-06
insertion,100,1.402000e-06
insertion,100,1.391000e-06
insertion,100,1.369000e-06
insertion,100,1.364000e-06
insertion,100,1.353000e-06
insertion,100,1.338000e-06
insertion,100,1.373000e-06
selection,100,2.309290e-04
selection,100,2.636030e-04
selection,100,2.460900e-04
selection,100,2.429480e-04
selection,100,2.505970e-04
selection,100,2.622770e-04
selection,100,2.655860e-04
selection,100,1.105030e-04
selection,100,1.078750e-04
selection,100,1.086380e-04
selection,100,1.104040e-04
selection,100,1.099650e-04
selection,100,1.189800e-04
selection,100,1.059450e-04
selection,100,1.106500e-04
selection,100,8.784900e-05
selection,100,1.099230e-04
selection,100,1.107660e-04
selection,100,1.106840e-04
selection,100,1.023350e-04
selection,100,1.012180e-04
selection,100,1.047750e-04
selection,100,9.659200e-05
selection,100,1.045100e-04
selection,100,9.650500e-05
selection,100,1.377100e-04
selection,100,1.051250e-04
selection,100,1.004610e-04
selection,100,1.049260e-04
selection,100,5.766100e-05
selection,100,5.074300e-05
selection,100,5.069400e-05
selection,100,5.066600e-05
selection,100,5.056400e-05
selection,100,5.062400e-05
selection,100,5.071500e-05
selection,100,5.070300e-05
selection,100,6.008900e-05
selection,100,5.054100e-05
selection,100,5.060700e-05
selection,100,5.076900e-05
selection,100,5.066200e-05
selection,100,5.498400e-05
selection,100,5.076700e-05
selection,100,1.300790e-04
selection,100,5.060300e-05
selection,100,5.066800e-05
selection,100,5.069300e-05
selection,100,5.065900e-05
selection,100,5.075900e-05
quick,100,1.007170e-04
quick,100,1.210640e-04
quick,100,1.200700e-04
quick,100,1.207310e-04
quick,100,1.205450e-04
quick,100,1.083630e-04
quick,100,7.282700e-05
quick,100,4.683600e-05
quick,100,5.055800e-05
quick,100,5.077400e-05
quick,100,4.339200e-05
quick,100,5.061100e-05
quick,100,4.729300e-05
quick,100,5.045900e-05
quick,100,5.048200e-05
quick,100,4.146800e-05
quick,100,5.047400e-05
quick,100,4.569000e-05
quick,100,5.038800e-05
quick,100,5.049900e-05
quick,100,5.051500e-05
quick,100,4.792000e-05
quick,100,4.803500e-05
quick,100,4.780200e-05
quick,100,4.798000e-05
quick,100,4.827800e-05
quick,100,4.874700e-05
quick,100,4.504200e-05
quick,100,4.773200e-05
quick,100,2.401100e-05
quick,100,2.598500e-05
quick,100,2.467200e-05
quick,100,2.473300e-05
quick,100,2.476800e-05
quick,100,2.376300e-05
quick,100,2.605700e-05
quick,100,2.612100e-05
quick,100,2.607900e-05
quick,100,2.609100e-05
quick,100,3.405100e-05
quick,100,2.603100e-05
quick,100,2.610700e-05
quick,100,2.604700e-05
quick,100,2.392800e-05
quick,100,2.626400e-05
quick,100,2.607500e-05
quick,100,2.596500e-05
quick,100,2.328500e-05
quick,100,2.589000e-05
quick,100,2.604800e-05
bubble,1000,4.407253e-02
bubble,1000,1.665251e-02
bubble,1000,2.191403e-02
bubble,1000,1.675695e-02
bubble,1000,1.804352e-02
bubble,1000,1.677942e-02
bubble,1000,1.927902e-02
bubble,1000,2.179308e-02
bubble,1000,1.750313e-02
bubble,1000,1.700140e-02
bubble,1000,1.631659e-02
bubble,1000,1.650854e-02
bubble,1000,1.717425e-02
bubble,1000,1.735339e-02
bubble,1000,1.692039e-02
bubble,1000,2.452512e-02
bubble,1000,1.674468e-02
bubble,1000,1.725800e-02
bubble,1000,1.688922e-02
bubble,1000,2.024996e-02
bubble,1000,1.668451e-02
bubble,1000,1.901777e-02
bubble,1000,1.658950e-02
bubble,1000,2.065317e-02
bubble,1000,1.594390e-02
bubble,1000,2.134044e-02
bubble,1000,1.649104e-02
bubble,1000,2.126350e-02
bubble,1000,2.236511e-02
bubble,1000,2.906841e-02
bubble,1000,1.792372e-02
bubble,1000,1.614977e-02
bubble,1000,1.704884e-02
bubble,1000,2.025494e-02
bubble,1000,1.683673e-02
bubble,1000,1.693055e-02
bubble,1000,1.799493e-02
bubble,1000,2.006606e-02
bubble,1000,1.615317e-02
bubble,1000,1.636777e-02
bubble,1000,1.878076e-02
bubble,1000,2.026641e-02
bubble,1000,1.599712e-02
bubble,1000,1.604089e-02
bubble,1000,1.636371e-02
bubble,1000,2.580541e-02
bubble,1000,2.129414e-02
bubble,1000,1.808528e-02
bubble,1000,1.696462e-02
bubble,1000,2.075765e-02
insertion,1000,1.882300e-05
insertion,1000,1.163500e-05
insertion,1000,1.180400e-05
insertion,1000,1.095500e-05
insertion,1000,1.220000e-05
insertion,1000,1.167200e-05
insertion,1000,2.220000e-05
insertion,1000,1.113800e-05
insertion,1000,1.146400e-05
insertion,1000,1.217400e-05
insertion,1000,1.131700e-05
insertion,1000,1.137200e-05
